Line,Comfort,Culture,Cost_of_Living,Security,Connectivity,Reliability,Crowding,Final_Score
Metropolitan,61.377527,16.8641864996459,54.6057138866934,100.0,58.0825977646938,45.4731193972492,100.0,62.343306364040323
Northern,46.527092,95.5968477765374,16.989731276786,44.3512416585569,64.1226829293096,89.0637056050171,44.3077837131561,57.279869279909008
District,56.483247,67.2885701040121,4.21631255576972,69.2807741093776,55.1605255037173,59.0818204009617,54.5409800186678,52.293175670358032
Piccadilly,63.65616,57.9357852606984,28.4786786791905,72.7881678321153,52.0677018755357,25.1665081543933,54.605457157,50.671208422704737
Central,57.166716,41.6620246512746,16.034320294322,64.5494673461782,61.5738536296451,22.8584344812793,66.5998482208553,47.2063806605078
Bakerloo,51.856813,76.5809674135687,6.48829506332882,0.0,40.6268104676661,62.3852670313487,71.7440599761815,44.240316136013405
Jubilee,68.794335,48.8794656632159,14.8106531657588,33.7610815589751,59.6441823765819,52.5868882828991,25.2745985706014,43.393029231147452
Circle,63.836067,81.0384707685802,1.70530256582424e-14,27.111101866413,37.2933093798488,20.0551916095562,56.0665355448017,40.771525167028564
Hammersmith & City,62.259073,39.985735422626,5.15526949039407,41.900691600955,40.6381661199559,20.0551916095562,56.0665355448017,38.008666112612694
Waterloo & City,23.788752,7.615,86.7361137766664,55.3611325328935,27.142826383813,49.1428571428571,0.0,35.68381169089
Victoria,44.852638,21.0350040573123,2.17045080073289,17.3449784965668,55.6037563200999,62.379513609341,0.0,29.055191612007551
